symbol,date,expiry,option_type,strike_price,open,high,low,close,ltp,settle_price,no_of_contracts,turnover_in_lakhs,premium_turnover_in_lakhs,open_int,change_in_oi,underlying_value,time_to_expiration
NIFTY,2025-05-12,2025-05-15,CE,26100.0,1.35,6.8,1.3,4.1,3.8,4.1,391208.0,7658800.93,904.33,4845150.0,650625.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25250.0,3.1,91.9,3.1,75.0,77.45,75.0,674460.0,12794155.48,21569.23,1310175.0,-16800.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22500.0,2043.75,2486.25,2043.75,2469.0,2484.2,2469.0,79.0,1463.75,130.63,56400.0,-4125.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25350.0,10.15,67.15,2.75,51.85,53.15,51.85,600845.0,11436985.84,13420.28,1174875.0,682650.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,21950.0,2621.75,3079.8,2621.75,3079.8,3079.8,3079.8,2.0,37.2,4.28,1425.0,,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22000.0,2750.0,2969.0,2688.2,2950.1,2969.0,2950.1,58.0,1079.04,122.04,26475.0,-2700.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25000.0,20.0,192.0,13.65,171.25,178.75,171.25,3193433.0,60092501.71,215632.96,6503250.0,-749775.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25850.0,1.9,13.0,1.65,8.5,7.7,8.5,258588.0,5014634.95,1260.1,1478475.0,721050.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23850.0,427.6,1145.2,427.6,1121.0,1124.2,1121.0,2262.0,41845.66,1384.14,170700.0,-29175.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22600.0,2005.6,2271.55,1971.8,2271.55,2271.55,2336.7,34.0,627.94,51.64,10575.0,450.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25450.0,2.05,48.55,2.05,35.7,35.4,35.7,516910.0,9874343.12,7823.49,796275.0,370200.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24100.0,331.1,906.45,331.1,873.45,880.7,873.45,65004.0,1201424.51,26477.21,2541900.0,-1174050.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24550.0,99.95,505.7,95.85,482.0,489.8,482.0,495864.0,9206415.06,76319.16,799950.0,-206250.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,22300.0,2605.5,2605.5,2605.5,2605.5,2605.5,2636.55,1.0,18.68,1.95,6300.0,-75.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23700.0,770.35,1292.65,737.0,1279.9,1272.25,1279.9,2630.0,48633.5,1885.25,181875.0,-42675.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,26050.0,2.65,7.85,1.4,4.75,4.65,4.75,221947.0,4336927.31,637.8,657150.0,389850.0,24924.7,0.008213552361396304
